EXP;GIRL;AGE;TIREDNESS;SLEEP;HEIGHT;WEIGHT;DEP1;DEP2;DEP3;DEP4;IG;IGPHOTOS1;IGPHOTOS2;INTER1;INTER2;INTER3;INTER4;INTER5;APP1;APP2;APP3;APP4;APP5;APP6;APP7;APP8;APP9;APP10;SELF1;SELF2;SELF3;SELF4;SELF5;SCHEM1;SCHEM2;SCHEM3;SCHEM4;SCHEM5;SCHEM6;SCHEM7;SCHEM8;SCHEM9;SHCEM10;MEMORY1;MEMORY2;BD1;BD2;BD3;BD4;BD5;BD6;BD7;BD8;BD9;ATT1;ATT2;COM1;COM2;BMI
1;1;15;3;3;158;45;3;1;3;3;3;2;4;1;1;1;1;1;5;5;4;5;3;5;3;5;4;5;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;4;2;2;4;2;4;2;1;3;2;18,0259573786252
1;1;18;4;4;169;80;3;4;5;3;3;2;2;5;5;5;5;5;4;3;5;3;3;2;2;3;4;4;3;3;3;3;4;3;1;2;4;3;3;2;2;4;2;2;2;5;5;4;4;5;2;4;3;2;1;2;2;99;28,0102237316621
0;0;17;5;2;172;63;2;5;2;2;4;2;3;3;4;3;4;4;1;1;3;3;1;2;2;1;1;1;2;3;1;2;2;4;4;5;4;2;4;4;2;4;4;2;99;3;3;3;3;3;3;3;3;3;2;2;2;2;21,295294753921
0;1;13;3;2;157;45;1;1;1;1;2;1;2;1;1;1;1;1;4;4;4;4;5;4;5;5;4;5;4;3;2;2;4;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;5;99;1;2;99;2;99;99;3;3;18,2563187147552
1;1;13;3;2;160;80;2;1;2;2;3;2;3;3;3;4;4;3;4;3;5;5;4;4;3;4;5;4;3;3;4;4;4;1;1;1;3;1;3;1;1;2;1;2;2;3;4;2;4;3;4;4;2;4;2;1;3;4;31,25
0;0;18;5;4;170;85;5;5;4;4;5;2;5;1;2;3;2;1;1;2;3;1;3;1;3;3;3;3;2;1;3;3;1;1;2;3;5;1;1;2;1;2;1;2;2;4;4;3;4;4;4;4;4;4;2;1;4;3;29,4117647058824
1;0;16;3;4;169;68;2;1;3;2;3;1;1;2;2;1;2;2;3;2;2;3;3;3;1;2;2;2;4;4;4;3;3;1;3;1;4;2;4;5;2;3;5;2;2;2;1;1;2;3;3;2;3;3;2;1;2;3;23,8086901719128
1;0;17;2;4;180;70;2;2;1;2;5;4;3;2;3;2;3;1;3;3;2;2;2;3;2;3;4;3;2;2;1;2;1;5;4;4;4;4;4;3;5;3;3;2;2;5;4;2;3;3;3;3;3;4;2;2;2;2;21,6049382716049
0;0;16;3;3;176;60;3;3;3;3;5;4;4;2;3;1;1;3;3;3;2;1;2;3;3;1;3;3;2;2;2;2;2;1;1;2;3;2;1;3;1;1;1;2;2;1;2;5;3;3;2;3;1;3;2;2;2;3;19,3698347107438
1;0;18;4;1;183,5;65;3;2;3;2;5;2;5;4;3;1;2;2;5;5;5;5;5;5;5;5;5;3;2;2;2;3;3;1;1;1;1;1;1;1;1;1;1;2;2;1;1;2;1;3;1;1;1;1;3;1;2;3;19,3037293320167
